Meter,Date,KWH,USD,Event_Type,Event_Note
140007,10/01/2023,21194,2578.05,Normal,
140007,11/01/2023,15118,1806.69,Normal,
140007,12/01/2023,11317,1345.93,Normal,
140007,1/01/2024,13796,1679.1,Normal,
140007,2/01/2024,142140,1696.09,Normal,
140007,3/01/2024,17459,2126.05,Normal,
140007,4/01/2024,0,0.0,Normal,
140007,5/01/2024,23113,2780.23,Normal,
140007,6/01/2024,27774,3379.44,Normal,
140007,7/01/2024,27582,3333.54,Normal,
140007,8/01/2024,24557,2923.85,Normal,
140007,9/01/2024,25783,3045.02,Normal,
140007,10/01/2024,22228,2603.37,Normal,
140007,11/01/2024,15247,1823.27,Normal,
140007,12/01/2024,14916,1782.84,Normal,
140007,1/01/2025,9867,1171.28,Normal,
140007,2/01/2025,16878,2080.37,Normal,
140007,3/01/2025,17328,2080.62,Normal,
140007,4/01/2025,19266,2287.71,Normal,
140007,5/01/2025,24304,2903.01,Normal,
140007,6/01/2025,25461,3053.72,Normal,
140007,7/01/2025,44670,5569.32,Operational Spike,Equipment commissioning
140007,8/01/2025,30076,3528.72,Normal,
140007,9/01/2025,24518,3001.26,Normal,
140007,10/01/2025,22347,2657.66,Normal,
140007,11/01/2025,21327,2530.42,Normal,
140007,12/01/2025,0,0.0,Normal,
191421,10/01/2023,92491,16148.89,Normal,
191421,11/01/2023,0,0.0,Normal,
191421,12/01/2023,81582,13816.72,Normal,
191421,1/01/2024,63051,10751.27,Normal,
191421,2/01/2024,79412,13854.15,Normal,
191421,3/01/2024,95181,16053.31,Normal,
191421,4/01/2024,0,0.0,Normal,
191421,5/01/2024,104147,17714.17,Normal,
191421,6/01/2024,126044,22151.2,Normal,
191421,7/01/2024,137624,23983.83,Normal,
191421,8/01/2024,115795,19980.03,Normal,
191421,9/01/2024,110430,18957.43,Normal,
191421,10/01/2024,97802,16884.81,Normal,
191421,11/01/2024,93900,16401.99,Normal,
191421,12/01/2024,67685,11892.38,Normal,
191421,1/01/2025,66671,11400.95,Normal,
191421,2/01/2025,0,0.0,Normal,
191421,3/01/2025,100475,17040.22,Normal,
191421,4/01/2025,100098,1700235.0,Normal,
191421,5/01/2025,0,0.0,Normal,
191421,6/01/2025,114450,19943.94,Normal,
191421,7/01/2025,125790,21610.02,Normal,
191421,8/01/2025,0,0.0,Normal,
191421,9/01/2025,116617,20060.75,Normal,
191421,10/01/2025,95802,16693.47,Normal,
191421,11/01/2025,89608,15100.81,Normal,
191421,12/01/2025,93667,16747.06,Normal,
212931,10/01/2023,29204,3715.05,Normal,
212931,11/01/2023,35269,4490.28,Normal,
212931,12/01/2023,31162,4020.83,Normal,
212931,1/01/2024,26296,3359.3,Normal,
212931,2/01/2024,28868,3646.76,Normal,
212931,3/01/2024,31103,4126.24,Normal,
212931,4/01/2024,38475,4829.89,Normal,
212931,5/01/2024,39467,4936.07,Normal,
212931,6/01/2024,43129,5410.99,Normal,
212931,7/01/2024,48137,6043.57,Normal,
212931,8/01/2024,48014,6157.81,Normal,
212931,9/01/2024,31750,4032.43,Normal,
212931,10/01/2024,38934,5112.01,Normal,
212931,11/01/2024,28863,3761.82,Normal,
212931,12/01/2024,26134,3368.99,Normal,
212931,1/01/2025,20932,2682.36,Normal,
212931,2/01/2025,22046,2906.61,Normal,
212931,3/01/2025,32078,4155.51,Normal,
212931,4/01/2025,31846,3995.55,Normal,
212931,5/01/2025,40585,512351.0,Normal,
212931,6/01/2025,42709,5565.65,Normal,
212931,7/01/2025,40653,5147.45,Normal,
212931,8/01/2025,0,0.0,Normal,
212931,9/01/2025,41373,5328.05,Normal,
212931,10/01/2025,34089,4491.17,Normal,
212931,11/01/2025,30857,3961.31,Normal,
212931,12/01/2025,19244,2461.19,Normal,
379501,10/01/2023,33773,6329.2,Normal,
379501,11/01/2023,41718,8095.94,Normal,
379501,12/01/2023,34285,6504.07,Normal,
379501,1/01/2024,29140,5684.12,Normal,
379501,2/01/2024,39316,7377.95,Normal,
379501,3/01/2024,37861,7418.77,Normal,
379501,4/01/2024,46211,8909.37,Normal,
379501,5/01/2024,53192,10004.97,Normal,
379501,6/01/2024,53991,10522.22,Normal,
379501,7/01/2024,56315,11005.46,Normal,
379501,8/01/2024,58419,11390.46,Normal,
379501,9/01/2024,43009,8449.14,Normal,
379501,10/01/2024,48343,9286.05,Normal,
379501,11/01/2024,34085,6511.63,Normal,
379501,12/01/2024,33667,6636.27,Normal,
379501,1/01/2025,30881,6138.45,Normal,
379501,2/01/2025,29283,5565.51,Normal,
379501,3/01/2025,38709,7476.14,Normal,
379501,4/01/2025,42629,8140.11,Normal,
379501,5/01/2025,51994,10226.06,Normal,
379501,6/01/2025,56613,11191.7,Normal,
379501,7/01/2025,59454,11812.3,Normal,
379501,8/01/2025,57360,11103.12,Normal,
379501,9/01/2025,0,0.0,Normal,
379501,10/01/2025,45846,8639.33,Normal,
379501,11/01/2025,40982,7838.98,Normal,
379501,12/01/2025,33797,6643.64,Normal,
380679,10/01/2023,87158,14085.2,Normal,
380679,11/01/2023,61133,10234.6,Normal,
380679,12/01/2023,72587,12000.0,Normal,
380679,1/01/2024,62482,10490.68,Normal,
380679,2/01/2024,68732,10991.11,Normal,
380679,3/01/2024,57298,9411.46,Normal,
380679,4/01/2024,95799,15571.76,Normal,
380679,5/01/2024,103023,17093.31,Normal,
380679,6/01/2024,114206,19215.22,Normal,
380679,7/01/2024,0,0.0,Normal,
380679,8/01/2024,122344,19928.68,Normal,
380679,9/01/2024,86562,13981.76,Normal,
380679,10/01/2024,90637,14955.57,Normal,
380679,11/01/2024,68366,11483.48,Normal,
380679,12/01/2024,123803,21262.63,Operational Spike,Training Event
380679,1/01/2025,57809,9319.69,Normal,
380679,2/01/2025,66006,10697.93,Normal,
380679,3/01/2025,74313,12497.22,Normal,
380679,4/01/2025,0,0.0,Normal,
380679,5/01/2025,102660,16353.33,Normal,
380679,6/01/2025,101458,16629.42,Normal,
380679,7/01/2025,113234,18049.61,Normal,
380679,8/01/2025,91746,14838.43,Normal,
380679,9/01/2025,101967,16826.96,Normal,
380679,10/01/2025,92125,15179.98,Normal,
380679,11/01/2025,64688,10874.32,Normal,
380679,12/01/2025,55191,8795.92,Normal,
497540,10/01/2023,104791,8885.53,Normal,
497540,11/01/2023,106027,8903.57,Normal,
497540,12/01/2023,69992,6076.45,Normal,
497540,1/01/2024,74403,6390.36,Normal,
497540,2/01/2024,85405,7410.82,Normal,
