Utility_Company,Account,Service_Address,Meter_Char,Meter,Location
GridPower Corp,ACCT-389764-93,842 Sector Blvd,105411,105411,Echo Training Ground
Sovereign Energy,ACCT-721096-69,471 Cyber Dr,113706,113706,Centerville Training Site
GridPower Corp,ACCT-574320-92,740 Cyber Dr,157604,157604,Fairview Proving Ground
Metro Utility Partners,ACCT-794014-57,377 Sector Blvd,195263,195263,Echo Training Ground
Apex Electric Co.,ACCT-482148-11,274 Fortress Lane,252902,252902,Site Alpha
Sovereign Energy,ACCT-357162-49,607 Innovation Way,282502,282502,Springfield
GridPower Corp,ACCT-769925-27,444 Quantum Rd,290328,290328,Springfield Armory
Apex Electric Co.,ACCT-689387-53,258 Fortress Lane,377087,377087,Foxtrot Maneuver Site
Northern Lights Power,ACCT-214058-54,246 Quantum Rd,419360,419360,Springfield Armory
GridPower Corp,ACCT-255908-68,790 Quantum Rd,432452,432452,Foxtrot Maneuver Site
Metro Utility Partners,ACCT-302086-41,355 Quantum Rd,463104,463104,Echo Training Ground
Metro Utility Partners,ACCT-129161-18,935 Quantum Rd,493955,493955,Echo Training Ground
GridPower Corp,ACCT-845450-70,352 Cyber Dr,587143,587143,Foxtrot Maneuver Site
Northern Lights Power,ACCT-627895-27,242 Sector Blvd,590916,590916,Foxtrot Maneuver Site
Sovereign Energy,ACCT-271508-97,780 Innovation Way,668877,668877,Springfield
GridPower Corp,ACCT-907141-19,825 Cyber Dr,707863,707863,Echo Training Ground
GridPower Corp,ACCT-305639-64,639 Cyber Dr,731162,731162,Site Alpha
GridPower Corp,ACCT-848828-59,838 Fortress Lane,753405,753405,Centerville Training Site
GridPower Corp,ACCT-505063-39,557 Innovation Way,869950,869950,Foxtrot Maneuver Site
EcoGrid Utilities,ACCT-201539-64,355 Cyber Dr,895921,895921,Fairview Proving Ground
Metro Utility Partners,ACCT-278481-66,460 Sector Blvd,963752,963752,Foxtrot Maneuver Site
Metro Utility Partners,ACCT-151739-36,420 Innovation Way,976281,976281,Echo Training Ground
